symbol,quantity,algo,open_px,notional
PLAB,0.0,VWAP,33.279998779296875,0.0
PLXS,0.0,VWAP,272.4200134277344,0.0
PNC,0.0,VWAP,256.5,0.0
OLED,0.0,VWAP,91.72000122070312,0.0
TXNM,0.0,VWAP,57.43000030517578,0.0
PNW,0.0,VWAP,100.91000366210938,0.0
POOL,0.0,VWAP,199.22000122070312,0.0
POWL,0.0,VWAP,207.00999450683594,0.0
PPG,0.0,VWAP,115.20999908447266,0.0
PPL,1.0,VWAP,35.56999969482422,35.56999969482422
WTRG,2.0,VWAP,39.939998626708984,79.87999725341797
ATO,0.0,VWAP,170.3000030517578,0.0
PAR,-1.0,VWAP,18.149999618530273,-18.149999618530273
PVH,0.0,VWAP,82.70999908447266,0.0
PWR,0.0,VWAP,680.219970703125,0.0
R,0.0,VWAP,264.4100036621094,0.0
AIN,0.0,VWAP,64.13999938964844,0.0
RRX,0.0,VWAP,173.0,0.0
RES,21.0,VWAP,6.21999979019165,130.61999559402466
RGEN,0.0,VWAP,167.19000244140625,0.0
DDS,0.0,VWAP,605.0,0.0
RGLD,0.0,VWAP,229.69000244140625,0.0
RHI,0.0,VWAP,41.84000015258789,0.0
MCO,0.0,VWAP,479.0400085449219,0.0
RJF,0.0,VWAP,181.77000427246094,0.0
TAP,0.0,VWAP,41.72999954223633,0.0
RLI,0.0,VWAP,63.630001068115234,0.0
OMC,0.0,VWAP,86.05000305175781,0.0
ROK,0.0,VWAP,453.3900146484375,0.0
ROL,2.0,VWAP,36.79999923706055,73.5999984741211
ROST,0.0,VWAP,249.1699981689453,0.0
SCHL,-1.0,VWAP,42.27000045776367,-42.27000045776367
SNPS,0.0,VWAP,412.32000732421875,0.0
SAH,0.0,VWAP,82.23999786376953,0.0
SAM,0.0,VWAP,184.92999267578125,0.0
T,6.0,VWAP,24.280000686645508,145.68000411987305
SCHW,0.0,VWAP,109.73999786376953,0.0
SCL,0.0,VWAP,65.0,0.0
SEB,0.0,VWAP,4228.4501953125,0.0
SEIC,0.0,VWAP,106.0,0.0
SF,0.0,VWAP,85.88999938964844,0.0
SFNC,0.0,VWAP,24.010000228881836,0.0
SHW,0.0,VWAP,363.45001220703125,0.0
SIGI,0.0,VWAP,94.62000274658203,0.0
SJM,0.0,VWAP,119.86000061035156,0.0
HTO,0.0,VWAP,62.77000045776367,0.0
SKY,0.0,VWAP,94.9000015258789,0.0
SKYW,0.0,VWAP,108.86000061035156,0.0
SLAB,0.0,VWAP,219.14999389648438,0.0
SLB,0.0,VWAP,52.0,0.0
SLM,0.0,VWAP,28.1200008392334,0.0
SMG,0.0,VWAP,62.79999923706055,0.0
SMP,-1.0,VWAP,39.599998474121094,-39.599998474121094
SNA,0.0,VWAP,409.6600036621094,0.0
SO,0.0,VWAP,92.81999969482422,0.0
SPXC,0.0,VWAP,219.64999389648438,0.0
SRCE,0.0,VWAP,89.11000061035156,0.0
SCI,0.0,VWAP,84.11000061035156,0.0
STM,0.0,VWAP,54.31999969482422,0.0
SWK,0.0,VWAP,103.97000122070312,0.0
SXI,0.0,VWAP,333.80999755859375,0.0
SYY,0.0,VWAP,84.98999786376953,0.0
TAC,4.0,VWAP,12.390000343322754,49.560001373291016
TDS,-1.0,VWAP,33.43000030517578,-33.43000030517578
TER,0.0,VWAP,399.3999938964844,0.0
TFX,0.0,VWAP,135.9199981689453,0.0
THO,0.0,VWAP,77.70999908447266,0.0
TJX,0.0,VWAP,153.0,0.0
TKR,0.0,VWAP,130.75999450683594,0.0
GL,0.0,VWAP,179.3300018310547,0.0
TMO,0.0,VWAP,606.2899780273438,0.0
TRI,0.0,VWAP,103.6500015258789,0.0
TOL,0.0,VWAP,151.0500030517578,0.0
TOWN,0.0,VWAP,37.97999954223633,0.0
TR,0.0,VWAP,40.90999984741211,0.0
TRN,0.0,VWAP,29.200000762939453,0.0
TRNS,0.0,VWAP,97.04000091552734,0.0
TROW,0.0,VWAP,112.19000244140625,0.0
TRP,0.0,VWAP,63.56999969482422,0.0
TRST,0.0,VWAP,57.06999969482422,0.0
TTC,0.0,VWAP,98.7699966430664,0.0
TTI,7.0,VWAP,8.6899995803833,60.829997062683105
TXN,0.0,VWAP,277.1600036621094,0.0
TXT,0.0,VWAP,88.23999786376953,0.0
TYL,0.0,VWAP,319.010009765625,0.0
UBSI,0.0,VWAP,49.290000915527344,0.0
UFCS,0.0,VWAP,53.68000030517578,0.0
UGI,0.0,VWAP,35.16999816894531,0.0
HON,0.0,VWAP,235.5,0.0
UNF,0.0,VWAP,291.7300109863281,0.0
UNM,0.0,VWAP,92.63999938964844,0.0
UNP,0.0,VWAP,295.2099914550781,0.0
MUX,2.0,VWAP,18.649999618530273,37.29999923706055
AD,-1.0,VWAP,35.38999938964844,-35.38999938964844
