DLX,-1,VWAP
DOV,0,VWAP
DRI,0,VWAP
DTE,0,VWAP
DUK,0,VWAP
ECL,0,VWAP
ED,0,VWAP
EFX,0,VWAP
EGP,0,VWAP
EME,0,VWAP
EMR,0,VWAP
EQT,0,VWAP
ERIE,0,VWAP
EXPD,0,VWAP
NEU,0,VWAP
DX,7,VWAP
KGC,1,VWAP
TRV,0,VWAP
FAST,0,VWAP
FNB,2,VWAP
FBNC,0,VWAP
FCNCA,0,VWAP
FCX,0,VWAP
FDX,0,VWAP
FE,0,VWAP
FEIM,0,VWAP
FELE,0,VWAP
FFBC,2,VWAP
FITB,0,VWAP
FLO,19,VWAP
FMC,2,VWAP
FOR,-7,VWAP
NEE,0,VWAP
FRT,0,VWAP
SNEX,0,VWAP
FSS,0,VWAP
FUL,0,VWAP
FULT,0,VWAP
EAT,0,VWAP
GD,0,VWAP
GGG,0,VWAP
GHM,0,VWAP
GIS,0,VWAP
STT,0,VWAP
GLW,0,VWAP
ALLY,0,VWAP
GME,3,VWAP
GATX,0,VWAP
GNTX,1,VWAP
GPC,0,VWAP
GPI,0,VWAP
GAP,3,VWAP
GRC,0,VWAP
GT,23,VWAP
GTY,0,VWAP
GWW,0,VWAP
HAL,0,VWAP
HAS,0,VWAP
ALNT,0,VWAP
HBAN,6,VWAP
WELL,0,VWAP
DOC,3,VWAP
HCSG,0,VWAP
HD,0,VWAP
HOG,1,VWAP
HE,4,VWAP
HEI,0,VWAP
LSTR,0,VWAP
HL,7,VWAP
HMN,0,VWAP
HST,4,VWAP
HOV,0,VWAP
HP,-1,VWAP
HRB,0,VWAP
HRL,1,VWAP
LHX,0,VWAP
HSY,0,VWAP
HTLD,2,VWAP
HUBB,0,VWAP
HUM,0,VWAP
HWKN,0,VWAP
HXL,0,VWAP
IBCP,0,VWAP
IBM,0,VWAP
IDA,0,VWAP
IDXX,0,VWAP
IFF,0,VWAP
TILE,0,VWAP
COHR,0,VWAP
INDB,0,VWAP
DORM,0,VWAP
WKC,0,VWAP
IP,0,VWAP
ADSK,0,VWAP
IT,0,VWAP
ITW,0,VWAP
INTC,0,VWAP
JBHT,0,VWAP
JJSF,0,VWAP
JKHY,0,VWAP
JNJ,0,VWAP
ORCL,0,VWAP
KBH,0,VWAP
KEX,0,VWAP
KEY,3,VWAP
KLAC,0,VWAP
KLIC,0,VWAP
KMB,0,VWAP
KMT,-1,VWAP
KO,5,VWAP
KR,0,VWAP
MZTI,0,VWAP
AXGN,0,VWAP
LEG,6,VWAP
LEN,0,VWAP
SR,0,VWAP
LII,0,VWAP
LLY,0,VWAP
CTSH,0,VWAP
LNC,0,VWAP
LOW,0,VWAP
LPX,0,VWAP
LRCX,0,VWAP
BBWI,3,VWAP
JEF,0,VWAP
LUV,0,VWAP
LYTS,0,VWAP
LZB,0,VWAP
MGA,0,VWAP
SANM,0,VWAP
MAN,0,VWAP
MAS,0,VWAP
MAT,3,VWAP
