ticker,quantity,algo,infocode
TAP,0,VWAP,54344
RLI,0,VWAP,56660
OMC,0,VWAP,67215
ROK,0,VWAP,49537
ROL,2,VWAP,72884
ROST,0,VWAP,56131
SCHL,-1,VWAP,64561
SNPS,0,VWAP,56460
SAH,0,VWAP,62393
SAM,0,VWAP,71532
T,6,VWAP,62473
SCHW,0,VWAP,60007
SCL,0,VWAP,60600
SEB,0,VWAP,62408
SEIC,0,VWAP,51205
SF,0,VWAP,62411
SFNC,0,VWAP,71986
SHW,0,VWAP,69671
SIGI,0,VWAP,54323
SJM,0,VWAP,62432
HTO,0,VWAP,62433
SKY,0,VWAP,60415
SKYW,0,VWAP,63068
SLAB,0,VWAP,67815
SLB,0,VWAP,46415
SLM,0,VWAP,69744
SMG,0,VWAP,49725
SMP,-1,VWAP,69701
SNA,0,VWAP,52050
SO,0,VWAP,62443
SPXC,0,VWAP,62452
SRCE,0,VWAP,50336
SCI,0,VWAP,72915
STM,0,VWAP,66243
SWK,0,VWAP,65079
SXI,0,VWAP,69698
SYY,0,VWAP,59998
TAC,4,VWAP,71128
TDS,-1,VWAP,54353
TER,0,VWAP,52386
TFX,0,VWAP,54362
THO,0,VWAP,54370
TJX,0,VWAP,54380
TKR,0,VWAP,50301
GL,0,VWAP,65171
TMO,0,VWAP,65051
TRI,0,VWAP,66353
TOL,0,VWAP,54395
TOWN,0,VWAP,54789
TR,0,VWAP,54401
TRN,0,VWAP,54404
TRNS,0,VWAP,54832
TROW,0,VWAP,71492
TRP,0,VWAP,64486
TRST,0,VWAP,68648
TTC,0,VWAP,60234
TTI,7,VWAP,54413
TXN,0,VWAP,51959
TXT,0,VWAP,67191
TYL,0,VWAP,72940
UBSI,0,VWAP,57211
UFCS,0,VWAP,51451
UGI,0,VWAP,64118
HON,0,VWAP,65050
UNF,0,VWAP,65130
UNM,0,VWAP,64122
UNP,0,VWAP,50990
MUX,2,VWAP,65123
AD,-1,VWAP,64128
UTL,0,VWAP,64132
RTX,0,VWAP,64133
UVV,-1,VWAP,64135
VMI,0,VWAP,60328
VECO,0,VWAP,53665
VFC,5,VWAP,50058
VLO,0,VWAP,49234
VMC,0,VWAP,65044
VNO,0,VWAP,64150
VSEC,0,VWAP,53748
VSH,0,VWAP,64158
WAB,0,VWAP,68056
WASH,0,VWAP,57779
WBS,0,VWAP,67640
WDC,0,VWAP,64166
WDFC,0,VWAP,72951
WEC,0,VWAP,60810
WERN,0,VWAP,57827
WFC,0,VWAP,64169
WAFD,0,VWAP,64779
WGO,0,VWAP,64173
BRO,0,VWAP,57124
WHR,0,VWAP,64176
WMB,0,VWAP,65088
WM,0,VWAP,64185
WMK,0,VWAP,61410
WMT,0,VWAP,46588
WSBC,0,VWAP,54655
WSFS,0,VWAP,54660
WST,0,VWAP,51843
WWW,0,VWAP,59446
WY,1,VWAP,49350
XRAY,8,VWAP,68644
ZION,0,VWAP,72976
FDS,0,VWAP,57271
CDP,0,VWAP,62300
ATS,-3,VWAP,270784
BLDP,53,VWAP,64823
BMO,0,VWAP,57103
BNS,0,VWAP,57105
CAE,0,VWAP,63162
CCJ,0,VWAP,64850
CM,0,VWAP,63179
CNQ,1,VWAP,63199
EGO,0,VWAP,71214
SU,0,VWAP,71778
FTK,-1,VWAP,72746
FTS,0,VWAP,271414
GIB,0,VWAP,63633
TFC,0,VWAP,57047
TTEK,0,VWAP,71332
DGII,0,VWAP,71288
IMAX,0,VWAP,63919
EOG,0,VWAP,68629
EXK,6,VWAP,57253
NG,15,VWAP,52912
PAAS,0,VWAP,54532
RCI,0,VWAP,56646
BB,13,VWAP,64758
SA,-1,VWAP,62391
RY,0,VWAP,62387
ANDE,0,VWAP,49961
TU,11,VWAP,54885
TD,0,VWAP,54351
TECK,0,VWAP,69157
TGB,9,VWAP,70262
WFG,0,VWAP,273454
HIFS,0,VWAP,55969
OII,0,VWAP,61475
CIEN,0,VWAP,64895
BIO,0,VWAP,69769
TWI,4,VWAP,54419
BSX,0,VWAP,57133
SPB,0,VWAP,59470
DVN,1,VWAP,51846
PRIM,0,VWAP,56141
NWBI,5,VWAP,56806
KRG,1,VWAP,67744
BBBY,17,VWAP,
ATEC,4,VWAP,58595
AMKR,0,VWAP,63743
COF,0,VWAP,60185
CDNS,0,VWAP,58976
TECH,1,VWAP,69869
MEOH,0,VWAP,67416
BIIB,0,VWAP,59026
CHE,0,VWAP,65095
NEOG,4,VWAP,71287
LXU,3,VWAP,72910
CRUS,0,VWAP,50417
ETR,0,VWAP,67140
WPC,0,VWAP,59433
IEX,0,VWAP,60412
VZ,0,VWAP,64162
CHDN,0,VWAP,68669
CVX,0,VWAP,67144
AUPH,0,VWAP,270767
ARCB,0,VWAP,51793
VRTX,0,VWAP,53744
STBA,0,VWAP,71981
PEP,0,VWAP,62340
AES,23,VWAP,64542
UPBD,0,VWAP,59812
BELFA,0,VWAP,49560
MGM,0,VWAP,64237
LSCC,0,VWAP,54017
ARE,0,VWAP,67091
NPKI,0,VWAP,62260
AAON,0,VWAP,52508
CFR,0,VWAP,49734
KOPN,22,VWAP,57615
ITRI,0,VWAP,58209
AMG,0,VWAP,60148
PTC,0,VWAP,67574
WPM,0,VWAP,62438
GSBC,0,VWAP,62661
GIII,0,VWAP,60301
MMS,-1,VWAP,60227
GHC,0,VWAP,67195
WRLD,0,VWAP,54648
CSCO,0,VWAP,36100
NOV,0,VWAP,52942
GBCI,0,VWAP,55892
TRMK,0,VWAP,54830
STN,0,VWAP,65304
XPEL,-1,VWAP,71822
VICR,0,VWAP,53686
SSRM,0,VWAP,62506
ELV,0,VWAP,70960
UDR,0,VWAP,64111
SRPT,2,VWAP,53753
MMSI,0,VWAP,71301
L,0,VWAP,50434
M,2,VWAP,57269
ICFI,0,VWAP,53172
SKE,0,VWAP,272933
BHE,0,VWAP,57075
PRDO,0,VWAP,66726
ORI,0,VWAP,60528
STAA,0,VWAP,64810
PRGS,0,VWAP,64546
ESE,0,VWAP,49934
DY,0,VWAP,63965
SWBI,1,VWAP,66804
NOVT,0,VWAP,66837
MXL,0,VWAP,230039
WTS,0,VWAP,51388
NKE,1,VWAP,65170
MU,0,VWAP,52871
RGA,0,VWAP,56647
AMRC,0,VWAP,241195
CATY,0,VWAP,52370
CECO,0,VWAP,69718
MLI,0,VWAP,64253
KKR,0,VWAP,235089
REGN,0,VWAP,50049
TEX,0,VWAP,49903
AMN,-2,VWAP,52603
AZO,0,VWAP,69901
ENB,0,VWAP,72955
HNI,0,VWAP,55727
HAE,0,VWAP,69904
VOYA,0,VWAP,266655
BOH,0,VWAP,57109
AVNT,-1,VWAP,56574
EZPW,-1,VWAP,52987
ABUS,45,VWAP,243440
ADC,0,VWAP,51400
HSIC,0,VWAP,70120
UHS,0,VWAP,64119
HWC,0,VWAP,62734
MTG,0,VWAP,66664
RHP,0,VWAP,67009
OSK,0,VWAP,71490
ZBRA,0,VWAP,49787
CNC,0,VWAP,63196
USB,0,VWAP,64127
THFF,0,VWAP,50831
FHI,0,VWAP,68212
INTU,0,VWAP,67773
BOKF,0,VWAP,59612
UHAL,0,VWAP,50364
ADT,20,VWAP,303840
SLGN,0,VWAP,50338
QCOM,0,VWAP,53577
GEO,0,VWAP,50104
SM,1,VWAP,62439
HPQ,1,VWAP,46182
NHI,0,VWAP,52920
UNH,0,VWAP,64766
JBSS,0,VWAP,51199
ODFL,0,VWAP,62814
OPCH,0,VWAP,59030
VCEL,0,VWAP,64894
NBTB,0,VWAP,58334
WOR,0,VWAP,65129
PZZA,0,VWAP,53569
GILD,0,VWAP,59398
AEG,12,VWAP,52588
CNOB,1,VWAP,57582
UVSP,-1,VWAP,64490
SVM,2,VWAP,53074
IBOC,0,VWAP,71939
WWD,0,VWAP,69735
NNN,0,VWAP,52936
DLTR,0,VWAP,61886
SCCO,0,VWAP,6347
EXTR,0,VWAP,67981
KIM,2,VWAP,66678
FCF,-1,VWAP,57263
FMBH,0,VWAP,60772
AMSC,-1,VWAP,60972
CALY,0,VWAP,63991
THC,0,VWAP,67681
LAZ,0,VWAP,51528
ICUI,0,VWAP,53195
EFOR,0,VWAP,61516
KSS,1,VWAP,67415
CAKE,0,VWAP,67370
MANH,0,VWAP,69990
USPH,0,VWAP,51066
EQR,0,VWAP,64010
COLB,0,VWAP,55322
SBUX,0,VWAP,62190
C,0,VWAP,40142
BRKL,49,VWAP,54945
OHI,0,VWAP,62305
HLIT,4,VWAP,72548
LTC,0,VWAP,71700
CUZ,0,VWAP,67164
POWI,0,VWAP,61068
LFUS,0,VWAP,57699
RDNT,-1,VWAP,69897
BANF,0,VWAP,70304
CENX,0,VWAP,53406
BZH,-2,VWAP,68352
MFC,0,VWAP,64232
FBP,0,VWAP,57261
BMRN,-1,VWAP,59088
EGY,18,VWAP,63985
FTNT,0,VWAP,216562
PEBO,0,VWAP,62740
AEM,0,VWAP,72981
PCRX,-1,VWAP,248823
OPY,0,VWAP,62314
PRSU,0,VWAP,50964
SPG,0,VWAP,62448
MCHP,0,VWAP,67470
MAR,0,VWAP,69980
ATR,0,VWAP,50864
TCBK,0,VWAP,53162
SAFT,0,VWAP,56213
ORLY,0,VWAP,70307
OBK,0,VWAP,306186
BFH,0,VWAP,52586
UFPT,0,VWAP,67527
BFC,0,VWAP,49310
CIGI,0,VWAP,70988
MKC,0,VWAP,50018
UNFI,0,VWAP,52268
VRSN,0,VWAP,50787
GABC,0,VWAP,55879
SKT,0,VWAP,62436
CTAS,0,VWAP,67241
BBSI,-1,VWAP,71742
REX,-1,VWAP,60364
BYD,0,VWAP,70317
ZBH,0,VWAP,70925
INOD,0,VWAP,67501
MCRI,0,VWAP,58675
XEL,0,VWAP,67986
BWA,0,VWAP,57143
CP,0,VWAP,72475
CLSK,6,VWAP,262331
ALNY,0,VWAP,63707
CASH,0,VWAP,58885
ROCK,0,VWAP,56122
AUB,0,VWAP,65359
PTEN,9,VWAP,62968
DECK,0,VWAP,53954
UFPI,0,VWAP,57231
LXP,0,VWAP,65270
VLY,3,VWAP,50111
REG,0,VWAP,56638
BX,0,VWAP,137341
URBN,0,VWAP,63800
WEN,8,VWAP,72937
FFIN,0,VWAP,50805
MAC,0,VWAP,64208
MHO,0,VWAP,72979
OSBC,0,VWAP,62888
SUI,0,VWAP,50225
PII,0,VWAP,61527
MAA,0,VWAP,64206
AVB,0,VWAP,66080
ODC,0,VWAP,61628
SHOO,0,VWAP,59565
GIL,0,VWAP,63634
CG,0,VWAP,261151
EMN,0,VWAP,60542
YUM,0,VWAP,59510
UMH,-3,VWAP,64488
IART,3,VWAP,68578
